System	Evaluation	Label	P	R	F1	TP	FP	FN
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.834	0.85	0.842	306	61	54
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.82	0.847	0.833	305	67	55
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.81	0.842	0.826	303	71	57
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.78	0.817	0.798	294	83	66
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.707	0.778	0.741	280	116	80
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	1.0	0.333	0.5	1	0	2
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	1	3
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.455	0.556	0.5	5	6	4
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.571	0.444	0.5	4	3	5
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.444	0.444	0.444	4	5	5
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.25	0.222	0.235	2	6	7
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	8	9
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.891	0.885	0.888	123	15	16
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.87	0.863	0.866	120	18	19
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.827	0.892	0.858	124	26	15
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.823	0.871	0.846	121	26	18
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.747	0.806	0.775	112	38	27
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.854	0.907	0.88	117	20	12
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.825	0.915	0.868	118	25	11
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.826	0.884	0.854	114	24	15
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.814	0.884	0.848	114	26	15
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.788	0.837	0.812	108	29	21
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.808	0.787	0.797	63	15	17
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.756	0.775	0.765	62	20	18
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.753	0.725	0.739	58	19	22
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.687	0.713	0.699	57	26	23
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.6	0.75	0.667	60	40	20
